date,away_abbr,away_pts,home_abbr,home_pts,playoff_game
20211228,MIL,127,ORL,110,0
20211228,WAS,112,MIA,119,0
20211228,PHI,114,TOR,109,0
20211228,LAL,132,HOU,123,0
20211228,NYK,96,MIN,88,0
20211228,CLE,104,NOP,108,0
20211228,DEN,89,GSW,86,0
20211228,OKC,111,SAC,117,0
20211229,NYK,94,DET,85,0
20211229,CHO,116,IND,108,0
20211229,LAC,91,BOS,82,0
20211229,ATL,117,CHI,131,0
20211229,LAL,99,MEM,104,0
20211229,OKC,97,PHO,115,0
20211229,UTA,120,POR,105,0
20211229,DAL,94,SAC,95,0
20211230,PHI,110,BRK,102,0
20211230,MIL,136,ORL,118,0
20211230,CLE,93,WAS,110,0
20211231,PHO,108,BOS,123,0
20211231,CHI,108,IND,106,0
20211231,DAL,112,SAC,96,0
20211231,MIA,120,HOU,110,0
20211231,ATL,121,CLE,118,0
20211231,LAC,108,TOR,116,0
20211231,SAS,105,MEM,118,0
20211231,NYK,80,OKC,95,0
20211231,MIN,108,UTA,120,0
20211231,POR,106,LAL,139,0
20220101,NOP,113,MIL,136,0
20220101,SAS,116,DET,117,0
20220101,CHI,120,WAS,119,0
20220101,LAC,120,BRK,116,0
20220101,DEN,124,HOU,111,0
20220101,GSW,123,UTA,116,0
20220102,NYK,105,TOR,120,0
20220102,ORL,111,BOS,116,0
20220102,IND,104,CLE,108,0
20220102,MIA,113,SAC,115,0
20220102,PHO,133,CHO,99,0
20220102,DAL,95,OKC,86,0
20220102,MIN,103,LAL,108,0
20220103,HOU,113,PHI,133,0
20220103,CHO,121,WAS,124,0
20220103,MEM,118,BRK,104,0
20220103,ORL,98,CHI,102,0
20220103,DET,115,MIL,106,0
20220103,UTA,115,NOP,104,0
20220103,DEN,89,DAL,103,0
20220103,MIA,108,GSW,115,0
20220103,ATL,131,POR,136,0
20220103,MIN,122,LAC,104,0
20220104,MEM,110,CLE,106,0
20220104,SAS,104,TOR,129,0
20220104,IND,94,NYK,104,0
20220104,PHO,123,NOP,110,0
20220104,SAC,114,LAL,122,0
20220105,DET,111,CHO,140,0
20220105,PHI,116,ORL,106,0
20220105,HOU,114,WAS,111,0
20220105,SAS,99,BOS,97,0
20220105,GSW,82,DAL,99,0
20220105,BRK,129,IND,121,0
20220105,TOR,117,MIL,111,0
20220105,OKC,90,MIN,98,0
20220105,UTA,115,DEN,109,0
20220105,MIA,115,POR,109,0
20220105,ATL,108,SAC,102,0
20220106,BOS,105,NYK,108,0
20220106,DET,88,MEM,118,0
20220106,GSW,96,NOP,101,0
20220106,LAC,89,PHO,106,0
20220107,SAS,100,PHI,119,0
20220107,MIL,121,BRK,109,0
20220107,UTA,108,TOR,122,0
20220107,WAS,122,CHI,130,0
20220107,DAL,130,HOU,106,0
20220107,MIN,135,OKC,105,0
20220107,SAC,111,DEN,121,0
20220107,ATL,118,LAL,134,0
20220107,CLE,114,POR,101,0
20220108,MEM,123,LAC,108,0
20220108,MIL,106,CHO,114,0
20220108,ORL,92,DET,97,0
20220108,UTA,113,IND,125,0
20220108,NYK,75,BOS,99,0
20220108,MIA,123,PHO,100,0
20220109,SAS,119,BRK,121,0
20220109,ATL,93,LAC,106,0
20220109,WAS,102,ORL,100,0
20220109,NOP,101,TOR,105,0
20220109,MIN,141,HOU,123,0
20220109,DEN,99,OKC,95,0
20220109,CHI,99,DAL,113,0
20220109,CLE,82,GSW,96,0
20220109,SAC,88,POR,103,0
20220109,MEM,127,LAL,119,0
20220110,MIL,99,CHO,103,0
20220110,UTA,116,DET,126,0
20220110,IND,98,BOS,101,0
20220110,SAS,96,NYK,111,0
20220110,PHI,111,HOU,91,0
20220110,BRK,108,POR,114,0
20220110,CLE,109,SAC,108,0
20220111,OKC,118,WAS,122,0
20220111,PHO,99,TOR,95,0
20220111,DET,87,CHI,133,0
20220111,GSW,108,MEM,116,0
20220111,MIN,125,NOP,128,0
20220111,DEN,85,LAC,87,0
20220112,BOS,119,IND,100,0
20220112,CHO,109,PHI,98,0
20220112,ORL,106,WAS,112,0
20220112,MIA,115,ATL,91,0
20220112,DAL,85,NYK,108,0
20220112,HOU,128,SAS,124,0
20220112,CLE,111,UTA,91,0
20220112,BRK,138,CHI,112,0
20220112,LAL,116,SAC,125,0
20220113,GSW,99,MIL,118,0
20220113,MIN,108,MEM,116,0
20220113,LAC,89,NOP,113,0
20220113,OKC,130,BRK,109,0
20220113,POR,108,DEN,140,0
20220114,ORL,116,CHO,109,0
20220114,TOR,87,DET,103,0
20220114,PHO,112,IND,94,0
20220114,BOS,99,PHI,111,0
20220114,GSW,138,CHI,96,0
20220114,ATL,118,MIA,124,0
20220114,CLE,114,SAS,109,0
20220114,DAL,112,MEM,85,0
20220114,HOU,114,SAC,126,0
20220115,TOR,103,MIL,96,0
20220115,POR,115,WAS,110,0
20220115,NYK,117,ATL,108,0
20220115,NOP,105,BRK,120,0
20220115,PHI,109,MIA,98,0
20220115,CLE,107,OKC,102,0
20220115,CHI,112,BOS,114,0
20220115,LAC,94,SAS,101,0
20220115,LAL,96,DEN,133,0
20220115,ORL,92,DAL,108,0
20220116,PHO,135,DET,108,0
20220116,HOU,118,SAC,112,0
20220116,UTA,125,DEN,102,0
20220116,GSW,99,MIN,119,0
20220117,NOP,92,BOS,104,0
20220117,CHO,97,NYK,87,0
20220117,PHI,98,WAS,117,0
20220117,BRK,107,CLE,114,0
20220117,IND,133,LAC,139,0
20220117,CHI,106,MEM,119,0
20220117,MIL,114,ATL,121,0
20220117,POR,98,ORL,88,0
20220117,TOR,99,MIA,104,0
20220117,OKC,102,DAL,104,0
20220117,PHO,121,SAS,107,0
20220117,UTA,95,LAL,101,0
20220118,MIN,112,NYK,110,0
20220118,DET,86,GSW,102,0
20220119,ORL,110,PHI,123,0
20220119,BRK,119,WAS,118,0
20220119,MIN,122,ATL,134,0
20220119,CHO,111,BOS,102,0
20220119,POR,92,MIA,104,0
20220119,CLE,104,CHI,117,0
20220119,MEM,114,MIL,126,0
20220119,TOR,98,DAL,102,0
20220119,OKC,96,SAS,118,0
20220119,HOU,116,UTA,111,0
20220119,LAC,128,DEN,130,0
20220119,DET,133,SAC,131,0
20220119,IND,111,LAL,104,0
20220120,PHO,109,DAL,101,0
20220120,NOP,102,NYK,91,0
20220120,IND,121,GSW,117,0
20220121,OKC,98,CHO,121,0
20220121,LAL,116,ORL,105,0
20220121,LAC,102,PHI,101,0
20220121,MIA,108,ATL,110,0
20220121,POR,109,BOS,105,0
20220121,CHI,90,MIL,94,0
20220121,TOR,109,WAS,105,0
20220121,BRK,117,SAS,102,0
